"YEAR","MONTH","CPI","SOURCE"
"2009","January",211.933,"US CPI"
"2009","February",212.705,"US CPI"
"2009","March",212.495,"US CPI"
"2009","April",212.709,"US CPI"
"2009","May",213.022,"US CPI"
"2009","June",214.79,"US CPI"
"2009","July",214.726,"US CPI"
"2009","August",215.445,"US CPI"
"2009","September",215.861,"US CPI"
"2009","October",216.509,"US CPI"
"2009","November",217.234,"US CPI"
"2009","December",217.347,"US CPI"
"2010","January",217.488,"US CPI"
"2010","February",217.281,"US CPI"
"2010","March",217.353,"US CPI"
"2010","April",217.403,"US CPI"
"2010","May",217.29,"US CPI"
"2010","June",217.199,"US CPI"
"2010","July",217.605,"US CPI"
"2010","August",217.923,"US CPI"
"2010","September",218.275,"US CPI"
"2010","October",219.035,"US CPI"
"2010","November",219.59,"US CPI"
"2010","December",220.472,"US CPI"
"2011","January",221.187,"US CPI"
"2011","February",221.898,"US CPI"
"2011","March",223.046,"US CPI"
"2011","April",224.093,"US CPI"
"2011","May",224.806,"US CPI"
"2011","June",224.806,"US CPI"
"2011","July",225.395,"US CPI"
"2011","August",226.106,"US CPI"
"2011","September",226.597,"US CPI"
"2011","October",226.75,"US CPI"
"2011","November",227.169,"US CPI"
"2011","December",227.223,"US CPI"
"2012","January",227.842,"US CPI"
"2012","February",228.329,"US CPI"
"2012","March",228.807,"US CPI"
"2012","April",229.187,"US CPI"
"2012","May",228.713,"US CPI"
"2012","June",228.524,"US CPI"
"2012","July",228.59,"US CPI"
"2012","August",229.918,"US CPI"
"2012","September",231.015,"US CPI"
"2012","October",231.638,"US CPI"
"2012","November",231.249,"US CPI"
"2012","December",231.221,"US CPI"
"2013","January",231.679,"US CPI"
"2013","February",232.937,"US CPI"
"2013","March",232.282,"US CPI"
"2013","April",231.797,"US CPI"
"2013","May",231.893,"US CPI"
"2013","June",232.445,"US CPI"
"2013","July",232.9,"US CPI"
"2013","August",233.456,"US CPI"
"2013","September",233.544,"US CPI"
"2013","October",233.669,"US CPI"
"2013","November",234.1,"US CPI"
"2013","December",234.719,"US CPI"
"2014","January",235.288,"US CPI"
"2014","February",235.547,"US CPI"
"2014","March",236.028,"US CPI"
"2014","April",236.468,"US CPI"
"2014","May",236.918,"US CPI"
"2014","June",237.231,"US CPI"
"2014","July",237.498,"US CPI"
"2014","August",237.46,"US CPI"
"2014","September",237.477,"US CPI"
"2014","October",237.43,"US CPI"
"2014","November",236.983,"US CPI"
"2014","December",236.252,"US CPI"
"2022","Jan",304.988,"HI CPI"
"2022","Feb",315.89,"HI CPI"
"2022","Mar",312.158,"HI CPI"
"2022","Apr",315.89,"HI CPI"
"2022","May",317.207,"HI CPI"
"2022","Jun",315.89,"HI CPI"
"2022","Jul",319.197,"HI CPI"
"2022","Aug",315.89,"HI CPI"
"2022","Sep",321.799,"HI CPI"
"2022","Oct",315.89,"HI CPI"
"2022","Nov",319.971,"HI CPI"
"2022","Dec",315.89,"HI CPI"
"2021","Jan",287.634,"HI CPI"
"2021","Feb",296.27,"HI CPI"
"2021","Mar",290.361,"HI CPI"
"2021","Apr",296.27,"HI CPI"
"2021","May",296.559,"HI CPI"
"2021","Jun",296.27,"HI CPI"
"2021","Jul",298.82,"HI CPI"
"2021","Aug",296.27,"HI CPI"
"2021","Sep",301.891,"HI CPI"
"2021","Oct",296.27,"HI CPI"
"2021","Nov",302.332,"HI CPI"
"2021","Dec",296.27,"HI CPI"
"2020","Jan",283.683,"HI CPI"
"2020","Feb",285.83,"HI CPI"
"2020","Mar",285.321,"HI CPI"
"2020","Apr",285.83,"HI CPI"
"2020","May",285.834,"HI CPI"
"2020","Jun",285.83,"HI CPI"
"2020","Jul",285.725,"HI CPI"
"2020","Aug",285.83,"HI CPI"
"2020","Sep",287.529,"HI CPI"
"2020","Oct",285.83,"HI CPI"
"2020","Nov",286.872,"HI CPI"
"2020","Dec",285.83,"HI CPI"
